Date#Trail,Num,Time(xx:xx),T (C),RH (%),Lum (lux),Behavior description,,,,PH (cm),PW (mm),Dis-Front,Dis-Left,Dis-Right,Dis-Back,Remark,,,,,,,,,,,,,,
09/29#03,TR#22,22:10,25.3,79.8,0,sleep,,,,60.6,20.28,78.32,48.65,177.35,118.68,close to 18,,,,,,,,,,,,,,
,TR#18,22:22,25.3,80.4,0,sleep,,,,78.9,23.7,91.69,564,>2m,>2m,close to 22,,,,,,,,,,,,,,
 ,TR#23,22:29,25.5,79.3,0,sleep,,,,91.4,14.27,825,147.85,66.3,145.76,,,,,,,,,,,,,,,
,TR#21,22:39,25.5,79.3,0,sleep,,,,91,13.5,98.23,61.62,5.74,222,"深入大芒草區, hard to 量測",,,,,,,,,,,,,,
,TR#24,22:46,25.6,78.7,0,sleep,,,,107.9,23.48,156.08,7.1,0,459,大芒草區，底有一層枯草,,,,,,,,,,,,,,
09/30#01,TR#24,6:03,27,76.7,503,stay,,,,107.9,23.48,156.08,7.1,0,459,exactly same place as pre,,,,,,,,,,,,,,
,TR#21,6:10,27.2,78,1124,"stay, escape",,,,9.08,13.5,98.23,61.62,5.74,222,"same perch place as pre, 小幅移動",,,,,,,,,,,,,,
,TR#23,6:14,26.8,79.2,3500,"stay, alarmed",,,,91.4,14.27,825,147.85,66.3,145.76,exactly same place as pre,,,,,,,,,,,,,,
,TR#18,6:8,27.2,74.6,1037,stay,,,,62.7,36.78,8.34,13.84,51.78,41.88,"almost same place as pre, 下潛至茂密草叢區",,,,,,,,,,,,,,
,TR#22,6:27,26.2,79.7,4800,"stay, alarmed",,,,50.3,15.23,43.67,0,35.69,120.29,almost same place as pre,,,,,,,,,,,,,,
09/30#02,TR#21,10:01,32.9,71.1,1764,"stay, 眼睛微閉",,,,93.4,18,111.58,5.07,25.05,153.07,"大芒草區深處, hard to 量測",,,,,,,,,,,,,,
,TR#24,10:35,36.1,63.7,4090,"escape when discover, rolling, 從枯草底層竄出來",,,,10.7,20.17,25.27,5.93,9.64,54.93,枯草卡在線圈中,,,,,,,,,,,,,,
,TR#23,10:44,36.8,62,4550,,,,,49.2,15.81,37.87,22.17,118.17,58.1,,,,,,,,,,,,,,,
,TR#18,10:53,35.9,59.2,-,"stay, alarmed escape",,,,34,30.35,25.31,46.84,19.89,88.68,,,,,,,,,,,,,,,
,TR#22,11:02,34.8,59.3,6060,"stay, alarmed escape",,,,21.7,34.34,38.29,22.92,263,67.02,1/2 body 懸空,,,,,,,,,,,,,,
09/30#03,TR#18,16:46,31.8,69.5,2940,"stay, alarmed escape",,,,78.9,23.7,91.69,564,>2m,>2m,exactly same placr as pre,,,,,,,,,,,,,,
,TR#22,16:55,31.5,73.6,3800,"stay, alarmed escape",,,,89.4,18.42,88.25,138.21,34.29,107.31,,,,,,,,,,,,,,,
,TR#23,17:02,31.6,75,405,"stay, alarmed escape",,,,33.8,27.66,29.1,64.86,35.69,47.57,,,,,,,,,,,,,,,
,TR#21,17:09,31.6,75,395,"stay, alarmed escape",,,,17.35,31.86,36.6,37.03,52.03,147.85,"大芒草區, hard to 測量",,,,,,,,,,,,,,
,TR#24,17:18,31.8,76.8,1056,"stay, alarmed",,,,96.5,33.47,151.58,46,>2m,370,,,,,,,,,,,,,,,
09/30#04,TR#22,22:26,28,75.3,0,sleep,,,,95,19.71,358,0,0,134.85,,,,,,,,,,,,,,,
,TR#18,22:38,27.5,76.7,0,sleep,,,,67.5,23.6,90.52,564,>2m,>2m,almost exact same place as pre,,,,,,,,,,,,,,
 ,TR#21,22:48,27,79.1,0,sleep,,,,173.5,31.86,366,37.03,52.03,147.85,exactly same place as pre,,,,,,,,,,,,,,
,TR#24,22:49,27.5,78.2,0,sleep,,,,*,18.53,76.7,370,224,220,,,,,,,,,,,,,,,
,TR#23,23:09,-,-,-,-,,,,-,-,-,-,-,-,tag fallen,,,,,,,,,,,,,,
10/01#01,TR#22,10:54,30.1,76.7,-,"stay, sun exposed",,,,67.6,7.07,>2m,19.55,81.59,266,,,,,,,,,,,,,,,
,TR#18,11:10,34.5,63.4,8250~-,"escape when discover, rollong",,,,21.7,29.1,17.31,14.07,25.66,50.03,"tag 變形, in 茂密草叢 hard to find",,,,,,,,,,,,,,
,TR#21,11:19,-,-,-,-,,,,-,-,-,-,-,-,"hard to find and 測量, knowing 大致位置only (1m",,,,,,,,,,,,,,
